,Draw_date,Jackpot_Prize(Millions),State,WB1,WB2,WB3,WB4,WB5,PB
0,2015-11-04,144,Tennessee,2,12,17,20,65,17
1,2016-01-13,1580,California,4,8,19,27,34,10
2,2016-03-02,291,Florida,12,13,44,52,62,6
3,2016-05-07,284,New Jersey,5,25,26,44,66,9
4,2016-07-30,487,New Hampshire,11,17,21,23,32,5
5,2016-09-17,246,Georgia,9,19,51,55,62,14
6,2016-11-26,420,Tennessee,17,19,21,37,44,16
7,2016-12-17,121,DE,1,8,16,40,48,10
8,2017-02-22,435,Indiana,10,13,28,52,61,2
9,2017-03-22,156,Wisconsin,2,9,27,29,42,9
10,2017-04-01,60,Arizona,9,32,36,44,65,1
11,2017-08-23,758,Massachusetts,6,7,16,23,26,4
12,2017-09-16,133,Colorado,17,18,24,25,31,24
13,2017-10-25,191,Louisiana,18,22,29,54,57,8
14,2018-01-06,559,New Hampshire,12,61,30,29,33,26
15,2018-03-17,456,Pennsylvania,22,57,59,60,66,7
16,2018-03-24,55,LA,10,33,45,53,56,24
17,2018-05-19,315,New Jersey,3,6,9,17,56,25
18,2018-06-20,150,Oregon,4,14,23,27,56,13
19,2018-08-11,245,New York,5,43,56,62,68,24
20,2018-10-27,687,New York,8,12,13,19,27,4
21,2018-12-26,298,New York,5,25,38,52,67,24
22,2019-03-27,768,Wisconsin,16,20,37,44,62,12
23,2019-06-01,344,North Carolina,6,15,34,45,52,8
24,2019-07-13,198,Tennessee,13,23,32,35,68,21
25,2019-08-17,148,New York,18,21,24,30,60,20
26,2019-09-04,80,New York,4,8,30,52,59,2
27,2019-09-21,80,Michigan,1,9,22,36,68,22
28,2019-11-02,150,California,3,23,32,37,58,22
29,2020-01-29,396,Florida,9,12,15,31,60,2
30,2020-02-15,70,Michigan,16,32,35,36,46,3
31,2020-04-08,190,New Jersey,2,37,39,48,54,5
32,2020-06-03,136,West Virginia,1,3,26,41,64,17
33,2020-06-10,22,Wisconsin,10,33,41,52,54,18
34,2020-08-12,168,Florida,2,6,18,36,37,21
35,2020-09-16,94,New York,10,17,31,51,53,1
36,2021-01-20,731,Maryland,40,53,60,68,69,22
37,2021-01-23,23,New Jersey,5,8,17,27,28,14
38,2021-01-30,33,New Jersey,1,2,7,52,61,4
39,2021-03-27,235,Florida,6,14,38,39,65,6
40,2021-06-05,285,Florida,44,52,54,64,69,26
41,2021-10-04,700,California,12,22,54,66,69,15
42,2022-01-05,632,Wisconsin,6,14,25,33,46,17
43,2022-02-14,185,Connecticut,16,25,27,49,55,17
44,2022-04-27,473,Arizona,11,36,61,62,68,4
45,2022-06-29,366,Vermont,8,40,49,58,63,14
46,2022-08-03,206,Pennsylvania,9,21,56,57,66,11
